,跳转到第一页,,,,,,,,
,特殊尺寸  规格  板材 找芝麻饼报价,,,,,,,,
,要cmyk文件 打样大货都是单走,,,,,,,,
,打样文件名：durst印亚克力打样+qq号+收货名+单图数量+（多图写图几）,,,,打样文件名：durst印亚克力双闪色纸【14×21亚克力色纸打样】+qq号+收货名+闪底+包边+单图数量+（多图写图几）,,,,
,大货文件名：durst印亚克力大货+qq号+收货名+单图数量+（多图写图几）,,,,大货文件名：durst印【14×21亚克力色纸大货】+qq号+收货名+闪底+包边+单图数量+（多图写图几）,,,,
,交稿邮箱 2785972877@qq.com，邮件正文写收货信息（同一行 名字，电话，地址），带肾图。,,,,交稿邮箱 2785972877@qq.com，邮件正文写收货信息（同一行 名字，电话，地址），带肾图。,,,,
,交期15-20天  （包邮）,,,,交期15-20天  （包邮）,,,,
,如果需要指定表印还是里印 可以私聊饼王问数量 不加钱,,,,如果需要指定表印还是里印 可以私聊芝麻饼问数量 不加钱,,,,
,打样都是80（尺寸300*450内（多个拼也可以）包邮 大货也包邮,,,,打样都是80（尺寸300*450内（多个拼也可以）包邮 大货也包邮,,,,
,尺寸为成品尺寸 默认单边透明边2mm 插口高度按额外加5mm计算 底座额外算一次钱 打样大货不抵扣,,,,打样大货不抵扣,,,,
,尺寸/面数,单面（20起）,双面（双面贴pet）（单图50起）,,"durst印亚克力双闪色纸报价（默认2.5mm厚防刮板仿柯印刷cnc切割）
特殊尺寸私聊芝麻饼报价",,,,"景深色纸大货单价+3
打样100（出四张14*21）
三层景深大货+7
打样150 （出四张14*21）

包边 闪底参考a厂"
,（挂件+1元）,,,,,,,,
,4cm,1,1.5,,尺寸,报价,,,
,5cm,1.5,2.3,,,打样,20张,100+张,
,6cm,2.1,3.6,,10*14,80（八张）,9,8,
,7cm,3.5,5.7,,14*14,80（六张）,11,10,
,8cm,3.5,5.7,,14*21,80（四张）,14,13,
,9cm,4.2,7.1,,,,,,
,10cm,6.3,11,,闪底图参考,包边图参考,烫色亚克力工艺文件规范,,
,11*6cm,4.2,7.1,,饼饼定制双闪吧唧闪底 ,,,,
,11*7cm,5,8.5,,,,,,
,11*8cm,5,8.5,,,,,,
,11*9cm,6.3,11,,,,,,
,11*10cm,6.3,11,,,,,,
,11*11cm,8.4,14.2,,,,,,
,12*6cm,4.5,7.4,,,,,,
,12*7cm,5.3,8.8,,,,,,
,12*8cm,5.3,8.8,,,,,,
,12*9cm,6.6,11.3,,,,,,
,12*10cm,6.6,11.3,,,,,,
,12*11cm,8.7,14.5,,,,,,
,12*12cm,8.7,14.5,,,,,,
,13*6cm,4.8,7.7,,,,,,
,13*7cm,5.8,9.1,,,,,,
,13*8cm,5.8,9.1,,,,,,
,13*9cm,7.1,11.2,,,,,,
,13*10cm,7.1,11.2,,,,,,
,13*11cm,9,14.8,,,,,,
,13*12cm,9,14.8,,,,,,
,13*13cm,9,14.8,,,,,,
,14*6cm,5.2,8.1,,,,,,
,14*7cm,6,9.5,,,,,,
,14*8cm,6,9.5,,,,,,
,14*9cm,7.4,11.7,,,,,,
,14*10cm,7.4,11.7,,,,,,
,14*11cm,10,15.5,,,,,,
,14*12cm,10,15.5,,,,,,
,14*13cm,10,15.5,,,,,,
,14*14cm,10,15.5,,,,,,
,14*14cm,10,15.5,,,,,,
,14*14cm,10,15.5,,,,,,
