跳转到第一页,,,,,,,,,,,,,,
特殊尺寸  规格  板材 找饼王报价  全部都是单走  文件交rgb的psd就可以,,,,,,,,,,,,,,
1.烫色错误/切割错误 可以退款  2.包边错误/闪底错误这类情况只支持返工  不支持仅退款 （报销寄回邮费）3.色纸包边如未按照模板做好出血，未留框导致裁边，成品不售后,,,,,,,,,,,,,,
打样文件名：【激光/仿柯/特殊】+qq号+尺寸+数量+(多图写图几) 交稿邮箱 3988091741@qq.com,,,,,,不同尺寸闪底一起凑 单图10张起印 10图凑到一百 按照一百的报价,,,,,,,,
大货文件名：【激光/仿柯/特殊】+qq号+尺寸+数量+(多图写图几)+，交稿邮箱 ：3988091741@qq.com,,,,,,打样文件名：c厂【14×21亚克力色纸打样】+qq号+收货名+闪底+包边+单图数量+（多图写图几）,,,,,,,,
交稿邮箱 2785972877@qq.com，邮件正文写收货信息（同一行 名字，电话，地址），带肾图。多插自行标注好顺序,,,,,,大货文件名：c厂【14×21亚克力色纸大货】+qq号+收货名+闪底+包边+单图数量+（多图写图几）,,,,,,,,
打样都是十块（尺寸20cm内）包邮 大货也包邮 打样不对稿如需对稿请邮箱备注,,,,,,交稿邮箱 3988091741@qq.com，邮件正文写收货信息（同一行 名字，电话，地址），带肾图。,,,,,,,,
挂件+组装单个+1r /自寄帮装+0.5r/底座按尺寸额外算一次钱,,,云母板常备色号,,,（包邮）交期7-15天,,,,,,,,
"1.云母板sw-107单走
2.其他常备色号可以10r单走打样（要等凑整版），其他色号要包板打样（200r）",,,,"
6mm贝母麻将（一正一背）20起做",,,,,,,,,,
尺寸,2+2对裱 激光 单图20起 满版立牌不加钱  单走 交期7-10,"仿柯cnc单图20起单走（3mm亚克力） 满版立牌不加钱 交期10-20  
","特殊：3mm云母/3mm水波纹板 单图20起 单走 交期10-20
（总价600可以自选板材单走）",,,c厂亚克力双闪色纸报价（默认2.5mm厚A板uv印刷激光切割） 色差只售后打样  赌博大货不售后,,,,,,,,
,,,,10*14内打样10r,,,,,,,,,,
4cm,0.8,1,1.5,,,尺寸,报价,,,,大货不抵扣,,,
5cm,1.1,1.5,2.3,1.5,,,打样一张,10张,50张,100+张,,,,
6cm,1.4,2.1,3.6,2.3,,9*9,10,4,3.5,3,,,,
7*6cm,1.5,3.3,5,3.6,,10*10,10,4,3.5,3,,,,
7*7cm,1.8,3.5,5.8,5,,10*14,10,6,5,4,,,,
8*5cm,1.3,2.9,4.8,5.8,,10*17,10,8,6.5,5.5,,,,
8*6cm,1.6,3.5,5.4,4.8,,14*14,10,9,7,6,,,,
8*7cm,1.9,3.5,5.4,5.4,,14*21,10,10,8,6.5,,,,
8*8cm,2.2,3.8,6,5.4,,,,,,,,,,
9*5cm,1.5,3,5.4,6,,,,,,,,,,
9*6cm,1.8,3.8,6.4,5.4,,,,,,,,,,
9*7cm,2.3,3.8,6.4,6.4,,,,,,,,,,
9*8cm,2.6,5,6.8,6.4,,,,,,,,,,
9*9cm,3.1,5,7.2,6.8,,A厂亚克力双闪色纸报价（默认2.5mm厚防刮板仿柯印刷cnc切割）色差只售后打样  赌博大货不售后,,,,,,"景深色纸大货单价+2
二层景深
打样100（出四张14*21）
三层景深大货+7
打样150（出四张14*21） 
",,
10*5cm,1.6,3,5.4,7.2,,,,,,,,,,
10*6cm,1.9,3.8,6.4,5.4,,尺寸,报价,,,,大货不抵扣,,,
10*7cm,2.4,3.8,6.4,6.4,,,打样一张,10张,50张,100+张,,,,
10*8cm,2.7,5,6.8,6.4,,9*9,15,7,6,5,,,,
10*9cm,3.2,5,7.2,6.8,,10*10,15,7,6,5,,,,
10*10cm,3.5,7,11,7.2,,10*14,15,9,8,7,,,, 
11*6cm,2,4.2,7.1,11,,14*14,15,11,10,9,,,,
11*7cm,2,5,8.5,7.1,,14*21,15,15,14,13,,,,
11*8cm,2.8,5,8.5,8.5,,,,,,,,,,
11*9cm,2.8,6.3,11,8.5,,A厂闪底图参考,,,,,,,,
11*10cm,3.3,6.3,11,11,,饼饼定制双闪吧唧闪底 ,,,,,,,,
11*11cm,4,8.4,14.2,11,,,,,,,,,,
12*6cm,2.3,4.5,7.4,14.2,,,,,,,,,,
12*7cm,2.7,5.3,8.8,7.4,,,,,,,,,,
12*8cm,3.1,5.3,8.8,8.8,,,,,,,,,,
12*9cm,3.4,6.6,11.3,8.8,,,,,,,,,,
12*10cm,4,6.6,11.3,11.3,,,,,,,,,,
12*11cm,4.2,8.7,14.5,11.3,,,A厂闪底包边,,,,,,,
12*12cm,4.7,8.7,14.5,14.5,,,,,,,,,,
13*6cm,2.5,4.8,7.7,14.5,,,,,,,,,,
13*7cm,3,5.8,9.1,7.7,,,,,,,,,,
13*8cm,3.2,5.8,9.1,9.1,,,,,,,,,,
13*9cm,3.7,7.1,11.2,9.1,,,,,,,,,,
13*10cm,4.2,7.1,11.2,11.2,,,,,,,,,,
13*11cm,4.7,9,14.8,11.2,,,,,,,,,,
13*12cm,5,9,14.8,14.8,,,,,,,,,,
13*13cm,5.4,9,14.8,14.8,,,,,,,,,,
14*6cm,2.7,5.2,8.1,14.8,,,,,,,,,,
14*7cm,3.1,6,9.5,8.1,,,,,,,,,,
14*8cm,3.5,6,9.5,9.5,,,,,,,,,,
14*9cm,4,7.4,11.7,9.5,,,,,,,,,,
14*10cm,4.5,7.4,11.7,11.7,,,,,,,,,,
14*11cm,5,10,15.5,11.7,,,,,,,,,,
14*12cm,5.5,10,15.5,15.5,,,,,,,,,,
14*13cm,6,10,15.5,15.5,,,,,,,,,,
14*14cm,6.5,10,15.5,15.5,,,,,,,,,,
14*14cm,6.5,10,15.5,15.5,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
