,跳转到第一页,,,,,,,,
,durst印烫色双闪吧唧拼车价目表（durst表印）,,,,,,,,
,群文件有模板 cmyk格式，dpi300以上 文件交psd，白墨层请合并到一个图层 闪底跟烫色色号在群相册,,,,,,,,
,交稿邮箱2785972877@qq.com，邮件正文写收货信息（同一行 名字，电话，地址），带肾图。,,,,,,,,
,文件名：贝壳光/贝壳金吧唧+58mm+qq号+收货名+闪底+单图数量,,,,,,,,
,背卡文件名：尺寸+（折页 打孔 是否要多个吧唧放一个背卡）,,,,,,,,
,赶展/大货很着急的话可以找芝麻饼打样纯看颜色跟白墨的胶片作为参考,,,,,,,吧唧工艺文件规范,
,邮件名：贝壳光/贝壳金吧唧+58mm+qq号+收货名+闪底+单图数量,,,,,,,,
,单图50个/坑,,,,,,,,
,,durst印双闪,durst印触感银,烫单色双闪（单图50起）,烫单色触感银（单图50起）,烫双色双闪（单图50起）,烫双色触感银（单图50起）,闪底图参考,
,25mm圆形,2.7,2.7,3.2,3.2,加立体uv当多烫一色算（例如:贝壳光+立体uv就是烫双色价格）,,,
,32mm圆形,2.7,2.7,3.2,3.2,4.5,4.5,饼饼定制双闪吧唧闪底 ,
,58mm圆形,2.7,2.7,3.2,3.2,4.5,4.5,,
,65mm圆形,3.3,3.3,3.8,3.8,5,5,,
,75mm圆形,3.3,3.3,3.8,3.8,5,5,,
,50*50小正方,3.3,3.3,3.8,3.8,5,5,,
,53*57爱心,3.3,/,3.8,/,5,/,,
,40*60长方形,3.3,/,3.8,/,5,/,,
,47*61小椭圆,3.3,3.3,3.8,3.8,5,5,,
,47*62水滴,3.3,/,3.8,/,5,/,,
,43*70长方形,3.3,/,3.8,/,5,/,,
,30*85长条,3.8,/,4.8,/,6,/,,
,65mm六边形,3.8,3.8,4.8,4.8,6,6,,
,85*55长方形,3.8,3.8,4.8,4.8,6,6,,
,38*80子弹头/水晶吧唧,3.8,/,4.8,/,6,/,,
,93*63大椭圆,3.8,3.8,4.8,4.8,6,6,,
,47*77棺材,3.8,/,4.8,/,6,/,,
,41*116长方形,3.8,/,4.8,/,6,/,,
,80*80正方形,3.8,3.8,4.8,4.8,6,6,,
,55*80,3.8,3.8,4.8,/,6,/,,
,160mm圆形泡面盖,15,15,30,30,40,40,,
,150*150mm正方形,15,/,30,/,40,/,,
,,,,,,,,,
,烫色大货一车混尺寸一千个开走 单车同色号 不烫色大货凑二百个开走（触感银还是一千个）,,,,,,,,
,瓷系跟满天星闪底单价+0.5（暂定）在同步测试新的材料 因为durst印自带浅浮雕 瓷系跟满天星闪底太厚了,,,,,,,,
,装背卡+0.1 做背卡单价0.3一张10*10尺寸最大 超出报尺寸给群主报价 可以双面印可以打孔 图稿单边3mm外出即可,,,,,,,,
,关于烫色,,,,,,,,
,烫色均为立体冷烫  烫色运输掉或者出厂掉可以售后  整车要一个色号  线条最细0.1mm左右 误差0.25mm内,,,,,,,,
,双闪垫底和烫金颜色请参考群相册,,,,,,,,
,关于打样：,,,,,,,,
,色号自选（单色号凑够三十个打样开走） 不烫色凑五个开走（触感银还是30个),,,,,,,,
,背卡打样5r一张,,,,,,,,
,durst印刷吧唧（不烫色）打样10元  16cm跟15cm的都是50元 ,,,,,,,,
,烫单色打样15元 不限尺寸（15cm正方形跟16cm泡面盖打样150一个) 成品给1-2个   烫双色打样45元 不限尺寸（15cm正方形跟16cm泡面盖打样300一个) 成品给1-2个,,,,,,,,
,关于售后：,,,,,,,,
,1.套好模板 做错模板不售后 2.烫色不要出模板内红色成品圈 出了做不了成品不售后 3.请按照【烫色层】【印刷层】【白墨层】合并好图层,,,,,,,,
,常规运输 厂瑕 都是全包售后的 正常发就可以,,,,,,,,
,模板  百分比白墨  渐变白墨效果都在群相册自取,,,,,,,,
