跳转到第一页,,,,
"吧唧工艺文件规范 
",,,,
"群文件有模板,文件要求具体看上面↑闪底跟烫色色号在群相册",,,,
UV吧唧拼车价目表,,,,
交稿邮箱3988091741@qq.com，邮件正文写收货信息（同一行 名字，电话，地址），带肾图。,,,,闪底图参考
文件名：58mm+qq号+收货名+闪底+单图数量+背卡如有,,,,饼饼定制双闪吧唧闪底 
"邮件名：58mm+qq号+收货名+闪底+单图数量			
	",,,,
闪底册25一份  发邮件带肾图跟地址  邮箱3988091741@qq.com,,,,
,产品规格,单走数量,双闪,静电膜加价
uv印刷吧唧,58mm圆形/32mm圆形,50个,2.2,0.2
,,100个,2,
,65mm圆形/75mm圆形/50*50正方/53*57爱心/40*60长方形/43*70长方形/60*47椭圆,50个,2.6,0.2
,,100个,2.4,
,42*90长方形/55*85长方形/41*116长方形/47*77棺材/63*93大椭圆/80*80大正方/55*80,50个,3.2,0.2
,,100个,3,
,,,,
装背卡0.1/张  做背卡单价0.3一张10*10尺寸最大  打样5r/张 超出报尺寸给群主报价  可以双面印可以打孔  图稿单边3mm外出即可,,,,
静电膜均为0.2一个  ,,,,
双闪垫底请参考附档明细表,,,,
百分比白墨请合并成一个白墨层,,,,
关于打样：,,,,
uv打样五块钱一个包邮   顺丰只能到付  打样不对稿,,,,
关于发货：,,,,
10-15天左右发货，单坑包邮一个地址,,,,
关于售后：,,,,
常规运输  厂瑕  都是全包售后的  正常发就可以,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
