跳转到第一页,,,,,,,,,
打样文件名：【9寸梅妃折扇打样/8寸梅妃折扇打样（乌木扇骨】+qq号+收货名+单面印/双面印+单图数量+（多图写图几）,,,,,,,,,
大货文件名：【9寸梅妃折扇8寸梅妃折扇打样（乌木扇骨】+qq号+收货名+单面印/双面印+单图数量+（多图写图几）,,,,,,,,,
交稿邮箱 3810130298@qq.com，邮件正文写收货信息（同一行 名字，电话，地址），带肾图。,,,,,,,,,
打样大货交期均为7天,,,,,,,,,
梅妃折扇报价（21s绢布）,,,,,,,,,
,,,,,,,,,
尺寸,报价,,,,大货不抵扣,,,,
,打样一张,10,50,100+,,,,,
2.5寸（长93mm*宽14mm）,15,7,7,6.5,,,,,
4寸（长131mm*宽18mm）,15,10.5,10.5,9.5,,,,,
5寸（长165mm*宽20mm）,15,13,13,11,,,,,
6寸（长200mm*宽22mm）,15,16.5,16.5,13.5,,,,,
7寸（长230mm*宽22mm）,20,18,18,16.5,,,,,
8寸（长265mm*宽23mm）,20,20,20,18,,,,,
9.5寸（长315mm*宽24mm）,20,23,23,20,,,,,
,,,,,,,,,
梅妃折扇报价（21s绢布）（乌木扇骨/红木扇骨）红木  乌木为染色竹，手柄可能会有掉色的风险,,,,,,,,,
,,,,,,,,,
尺寸,报价,,,,大货不抵扣,,,,
,打样一张,10,50,100+,,,,,
8寸（长265mm*宽23mm）,20,14,13,12,,,,,
10寸（长330mm*宽30mm）,20,16,15,13.5,,,,,
